"filename", "language", "C++", "Shell Script", "Python", "CMake", "JavaScript", "TypeScript", "CMake Cache", "Log", "C", "Makefile", "Ini", "JSON", "XML", "comment", "blank", "total"
"/home/zch/planning_ros/build/atomic_configure/setup.bash", "Shell Script", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"/home/zch/planning_ros/build/atomic_configure/setup.sh", "Shell Script", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 97
"/home/zch/planning_ros/build/atomic_configure/setup.zsh", "Shell Script", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"/home/zch/planning_ros/build/catkin/catkin_generated/version/package.cmake", "CMake", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"/home/zch/planning_ros/build/catkin_generated/env_cached.sh", "Shell Script", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 17
"/home/zch/planning_ros/build/catkin_generated/generate_cached_setup.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 31
"/home/zch/planning_ros/build/catkin_generated/installspace/_setup_util.py", "Python", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 40, 305
"/home/zch/planning_ros/build/catkin_generated/installspace/env.sh", "Shell Script", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 17
"/home/zch/planning_ros/build/catkin_generated/installspace/local_setup.bash", "Shell Script", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"/home/zch/planning_ros/build/catkin_generated/installspace/local_setup.sh", "Shell Script", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 10
"/home/zch/planning_ros/build/catkin_generated/installspace/local_setup.zsh", "Shell Script", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"/home/zch/planning_ros/build/catkin_generated/installspace/setup.bash", "Shell Script", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"/home/zch/planning_ros/build/catkin_generated/installspace/setup.sh", "Shell Script", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 97
"/home/zch/planning_ros/build/catkin_generated/installspace/setup.zsh", "Shell Script", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"/home/zch/planning_ros/build/catkin_generated/order_packages.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/zch/planning_ros/build/catkin_generated/order_packages.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"/home/zch/planning_ros/build/catkin_generated/setup_cached.sh", "Shell Script", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 10
